Data,Município ,Campanha,Módulo,Transecto,Parcela,Ponto,Tipo de Parcela,Coordenadas UTM (X),Coordenadas UTM (Y),Ordem,Família,Subfamília,Espécie,Tipo Amostragem,Núm. Ind. (Colônias/Encontros),Núm. ID (campo),Instituição para Tombamento,Tombo,OBS,,,,,,,,,,,,,,
14/01/11,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",2,IB,T2,P4,2000,Terrestre,8989521,336332,,Termitidae,Nasutitermitinae,Atlantitermes snyderi,,1,3Bb,MZUSP,,Na base de palmeira,,,,,,,,,,,,,,
14/01/11,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",2,IB,T2,P5,3000,Terrestre,8990336,336964,,Termitidae,Nasutitermitinae,Atlantitermes sp. 2,,1,4Ba,MZUSP,,No solo,,,,,,,,,,,,,,
14/01/11,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",2,IB,T2,P6,4000,Terrestre,8991071,337699,,Termitidae,Nasutitermitinae,Nasutitermes banksi,,1,2Ab,MZUSP,,Em gravetos ,,,,,,,,,,,,,,
14/01/11,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",2,IB,T2,P4,2000,Terrestre,8989521,336332,,Termitidae,Nasutitermitinae,Nasutitermes gaigei,,1,1Bb,MZUSP,,Forrageando na serapilheira,,,,,,,,,,,,,,
14/01/11,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",2,IB,T2,P4,2000,Terrestre,8989521,336332,,Termitidae,Nasutitermitinae,Nasutitermes similis,,1,1Ba,MZUSP,,Forrageando na serapilheira,,,,,,,,,,,,,,
14/01/11,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",2,IB,T2,P4,2000,Terrestre,8989521,336332,,Termitidae,Nasutitermitinae,Nasutitermes similis,,1,3Aa,MZUSP,,Na base de árvore,,,,,,,,,,,,,,
14/01/11,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",2,IB,T2,P6,4000,Terrestre,8991071,337699,,Termitidae,Nasutitermitinae,Triangularitermes triangulariceps,,1,3Aa,MZUSP,,No solo,,,,,,,,,,,,,,
14/01/11,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",2,IB,T2,P6,4000,Terrestre,8991071,337699,,Termitidae,Syntermitinae,Armitermes euamignathus,,1,1Bb,MZUSP,MZUSP 14471,Em ninho de Embiratermes na base de árvore de aproximadamente 50 cm de altura,,,,,,,,,,,,,,
14/01/11,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",2,IB,T2,P4,2000,Terrestre,8989521,336332,,Termitidae,Syntermitinae,Armitermes minutus,,1,3Ab,MZUSP,MZUSP 14543,Na base de árvore,,,,,,,,,,,,,,
14/01/11,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",2,IB,T2,P5,3000,Terrestre,8990336,336964,,Termitidae,Syntermitinae,Armitermes minutus,,1,2Cb,MZUSP,MZUSP 14538,No solo,,,,,,,,,,,,,,
14/01/11,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",2,IB,T2,P2,500,Terrestre,8988404,335307,,Termitidae,Syntermitinae,Armitermes peruanus,,1,2Ba,MZUSP,MZUSP 14478,No solo,,,,,,,,,,,,,,
14/01/11,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",2,IB,T2,P5,3000,Terrestre,8990336,336964,,Termitidae,Syntermitinae,Cyrilliotermes angulariceps,,1,2Ca,MZUSP,MZUSP 14783,No solo,,,,,,,,,,,,,,
14/01/11,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",2,IB,T2,P2,500,Terrestre,8988404,335307,,Termitidae,Syntermitinae,Embiratermes neotenicus,,1,4Ba,MZUSP,,Em ninho e na serapilheira,,,,,,,,,,,,,,
14/01/11,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",2,IB,T2,P6,4000,Terrestre,8991071,337699,,Termitidae,Syntermitinae,Embiratermes neotenicus,,1,1Ba,MZUSP,,Em ninho de Embiratermes na base de árvore de aproximadamente 50 cm de altura,,,,,,,,,,,,,,
15/01/11,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",2,IB,T2,P1,0,Terrestre,8988015,334967,,Termitidae,Syntermitinae,Syntermes molestus,,1,3Ba,MZUSP,MZUSP 14722,Forrageando no solo,,,,,,,,,,,,,,
14/01/11,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",2,IB,T2,P2,500,Terrestre,8988404,335307,,Termitidae,Syntermitinae,Syntermes molestus,,1,4Ca,MZUSP,MZUSP 14716,No solo,,,,,,,,,,,,,,
14/01/11,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",2,IB,T2,P3,1000,Terrestre,8988753,335582,,Termitidae,Syntermitinae,Syntermes molestus,,1,3Aa,MZUSP,MZUSP 14714,No solo,,,,,,,,,,,,,,
14/01/11,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",2,IB,T2,P5,3000,Terrestre,8990336,336964,,Termitidae,Termitinae,Cylindrotermes flangiatus,,1,1Ba,MZUSP,,Em gravetos enterrados na serapilheira e na serapilheira,,,,,,,,,,,,,,
14/01/11,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",2,IB,T2,P5,3000,Terrestre,8990336,336964,,Termitidae,Termitinae,Cylindrotermes flangiatus,,1,3Bb,MZUSP,,Na serapilheira e em gravtos na serapilheira,,,,,,,,,,,,,,
14/01/11,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",2,IB,T2,P3,1000,Terrestre,8988753,335582,,Termitidae,Termitinae,Cylindrotermes parvignathus,,1,3Bb,MZUSP,,Em tronco caído,,,,,,,,,,,,,,
14/01/11,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",2,IB,T2,P4,2000,Terrestre,8989521,336332,,Termitidae,Termitinae,Cylindrotermes parvignathus,,1,1Bc,MZUSP,,Forrageando na serapilheira,,,,,,,,,,,,,,
14/01/11,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",2,IB,T2,P6,4000,Terrestre,8991071,337699,,Termitidae,Termitinae,Cylindrotermes parvignathus,,1,2Aa,MZUSP,,Em gravetos ,,,,,,,,,,,,,,
14/01/11,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",2,IB,T2,P6,4000,Terrestre,8991071,337699,,Termitidae,Termitinae,Cylindrotermes parvignathus,,1,3Bb,MZUSP,,No solo,,,,,,,,,,,,,,
14/01/11,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",2,IB,T2,P4,2000,Terrestre,8989521,336332,,Termitidae,Termitinae,Microcerotermes sp. 1,,1,1Bh,MZUSP,,Forrageando na serapilheira,,,,,,,,,,,,,,
14/01/11,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",2,IB,T2,P6,4000,Terrestre,8991071,337699,,Termitidae,Termitinae,Microcerotermes sp. 1,,1,1Bc,MZUSP,,Em ninho de Embiratermes na base de árvore de aproximadamente 50 cm de altura,,,,,,,,,,,,,,
14/01/11,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",2,IB,T2,P6,4000,Terrestre,8991071,337699,,Termitidae,Termitinae,Planicapritermes planiceps,,1,2Ba,MZUSP,,No solo,,,,,,,,,,,,,,
02/04/11,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",3,IB,T2,P1,0,Terrestre,8988015,334967,,Rhinotermitidae,,Dolichorhinotermes latilabrum,,1,3Aa,MZUSP,,Em tronco caído,,,,,,,,,,,,,,
01/04/11,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",3,IB,T2,P3,1000,Terrestre,8988753,335582,,Rhinotermitidae,,Dolichorhinotermes latilabrum,,1,2Ba,MZUSP,,No solo,,,,,,,,,,,,,,
02/04/11,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",3,IB,T2,P1,0,Terrestre,8988015,334967,,Rhinotermitidae,,Dolichorhinotermes sp. 1,,1,3Cb,MZUSP,,Em folha de palmeira,,,,,,,,,,,,,,
01/04/11,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",3,IB,T2,P4,2000,Terrestre,8989521,336332,,Rhinotermitidae,,Dolichorhinotermes sp. 1,,1,4Ca,MZUSP,,Em casca de palmeira na serapilheira,,,,,,,,,,,,,,
02/04/11,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",3,IB,T2,P1,0,Terrestre,8988015,334967,,Rhinotermitidae,,Heterotermes tenuis,,1,3Ab,MZUSP,,Em tronco caído,,,,,,,,,,,,,,
01/04/11,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",3,IB,T2,P4,2000,Terrestre,8989521,336332,,Rhinotermitidae,,Heterotermes tenuis,,1,3Aa,MZUSP,,No solo,,,,,,,,,,,,,,
02/04/11,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",3,IB,T2,P2,500,Terrestre,8988404,335307,,Termitidae,Nasutitermitinae,Nasutitermes banksi,,1,2Ab,MZUSP,,Em madeira caída,,,,,,,,,,,,,,
