País,Estado,Cidade,Localidade,Módulo.Grid,Trilha,Comp.Transecto,Numero.subparcelas,forma.coleta,Ano,Parcela,Transecto,Subparcela,Lado,Classe,Ordem,Família,Subfamília,Genero,Taxon,Condição,Frequencia,Grupo.trófico,Observacao.variedade,Observacao,Coletor1,Determinador,Coletor2,Determinador,CoordenadasNS,CoordenadasLW,CoordenadasNS
Brasil,Rondônia,Porto Velho,UHE_San_Antonio,M_J_Parana,T2,250m,2,Manual,2013,4000,,240,E,Insecta,Isptera,Termitidae,Termitinae,Planicapritermes,Planicapritermes_planiceps,,,,,,,,,,,,
Brasil,Rondônia,Porto Velho,UHE_San_Antonio,M_J_Parana,T2,250m,2,Manual,2013,4000,,240,D,Insecta,Isptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,,,,,,,,,,,
Brasil,Rondônia,Porto Velho,UHE_San_Antonio,M_J_Parana,T2,250m,2,Manual,2013,1000,,240,D,Insecta,Isptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_parvignathus,,,,,,,,,,,,
Brasil,Rondônia,Porto Velho,UHE_San_Antonio,M_J_Parana,T2,250m,2,Manual,2013,0,,240,D,Insecta,Isptera,Termitidae,Termitinae,Neocapritermes,Neocapritermes_sp._1,,,,,,,,,,,,
Brasil,Rondônia,Porto Velho,UHE_San_Antonio,M_J_Parana,T2,250m,2,Manual,2013,3000,,240,E,Insecta,Isptera,Termitidae,Termitinae,Neocapritermes,Neocapritermes_sp._1,,,,,,,,,,,,
Brasil,Rondônia,Porto Velho,UHE_San_Antonio,M_J_Parana,T2,250m,2,Manual,2013,4000,,240,E,Insecta,Isptera,Termitidae,Termitinae,Neocapritermes,Neocapritermes_sp._3,,,,,,,,,,,,
Brasil,Rondônia,Porto Velho,UHE_San_Antonio,M_J_Parana,T2,250m,2,Manual,2013,3000,,240,D,Insecta,Isptera,Termitidae,Termitinae,Termes,Termes_sp._1,,,,,,,,,,,,
Brasil,Rondônia,Porto Velho,UHE_San_Antonio,M_J_Parana,T2,250m,2,Manual,2013,500,,240,D,Insecta,Isptera,Termitidae,Termitinae,Neocapritermes,Neocapritermes_talpa,,,,,,,,,,,,
Brasil,Rondônia,Porto Velho,UHE_San_Antonio,M_J_Parana,T2,250m,2,Manual,2013,1000,,240,E,Insecta,Isptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_flangiatus,,,,,,,,,,,,
Brasil,Rondônia,Porto Velho,UHE_San_Antonio,M_J_Parana,T2,250m,2,Manual,2013,1000,,240,E,Insecta,Isptera,Termitidae,Termitinae,Cylindrotermes,Cylindrotermes_flangiatus,,,,,,,,,,,,
Brasil,Rondônia,Porto Velho,UHE_San_Antonio,M_J_Parana,T2,250m,2,Manual,2013,4000,,240,E,Insecta,Isptera,Termitidae,Termitinae,Cornicapritermes,Cornicapritermes_mucronatus,,,,,,,,,,,,
Brasil,Rondônia,Porto Velho,UHE_San_Antonio,M_J_Parana,T2,250m,2,Manual,2013,1000,,240,D,Insecta,Isptera,Termitidae,Termitinae,Neocapritermes,Neocapritermes_taracua,,,,,,,,,,,,
Brasil,Rondônia,Porto Velho,UHE_San_Antonio,M_J_Parana,T2,250m,2,Manual,2013,4000,,240,D,Insecta,Isptera,Termitidae,Termitinae,Neocapritermes,Neocapritermes_taracua,,,,,,,,,,,,
