data,Município,Campanha,Módulo,Transecto,Parcela,Ponto,Tipo de Parcela,Coordenadas UTM (X),Coordenadas UTM (Y),Ordem,Família,Subfamília,Espécie,Tipo Amostragem,Núm. Ind. (Colônias/Encontros),Núm.ID (campo),Instituição para Tombamento,Tombo,OBS
19/01/2013,"Ilha das Pedras, Jaci Paraná, Porto Velho, RO",9,IP,T2,P5,3000,Terrestre,8990336,336964,Isoptera,Termitidae,Apicotermitinae,Ruptitermes arboreus,,1,,INPA,,
29/01/2013,"Teotônio, Porto Velho, RO",9,TE,T2,P4,2000,Terrestre,9023885,381719,Isoptera,Termitidae,Apicotermitinae,Aparatermes sp. 9,,1,,INPA,,
29/01/2013,"Teotônio, Porto Velho, RO",9,TE,T2,P2,500,Terrestre,9022865,382824,Isoptera,Termitidae,Apicotermitinae,Aparatermes sp. 9,,1,,INPA,,
24/01/2013,"Três Praias, Jaci Paraná, Porto Velho, RO",9,JP,T2,P3,1050,Terrestre,8954868,347940,Isoptera,Termitidae,Apicotermitinae,Aparatermes sp. 9,,1,,INPA,,
29/01/2013,"Teotônio, Porto Velho, RO",9,TE,T2,P5,3000,Terrestre,9024570,380983,Isoptera,Termitidae,Apicotermitinae,Grigiotermes sp. 9,,1,,INPA,,
29/01/2013,"Teotônio, Porto Velho, RO",9,TE,T2,P1,10,Terrestre,9022531,383193,Isoptera,Termitidae,Apicotermitinae,Grigiotermes sp. 9,,1,,INPA,,
29/01/2013,"Teotônio, Porto Velho, RO",9,TE,T2,P4,2000,Terrestre,9023885,381719,Isoptera,Termitidae,Apicotermitinae,Grigiotermes sp. 9,,1,,INPA,,
20/01/2013,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",9,IB,T2,P2,500,Terrestre,8988404,335307,Isoptera,Termitidae,Apicotermitinae,Anoplotermes sp. 5,,1,,INPA,,
24/01/2013,"Três Praias, Jaci Paraná, Porto Velho, RO",9,JP,T2,P4,2050,Terrestre,8954964,348933,Isoptera,Termitidae,Apicotermitinae,Anoplotermes sp. 5,,1,,INPA,,
24/01/2013,"Três Praias, Jaci Paraná, Porto Velho, RO",9,JP,T2,P5,3000,Terrestre,8955078,349875,Isoptera,Termitidae,Apicotermitinae,Ruptitermes sp. 5,,1,,INPA,,
19/01/2013,"Ilha das Pedras, Jaci Paraná, Porto Velho, RO",9,IP,T2,P3,1000,Terrestre,8988753,335582,Isoptera,Termitidae,Apicotermitinae,Ruptitermes sp. 5,,1,,INPA,,
19/01/2013,"Ilha das Pedras, Jaci Paraná, Porto Velho, RO",9,IP,T2,P5,3000,Terrestre,8990336,336964,Isoptera,Termitidae,Apicotermitinae,Aparatermes sp. 12,,1,,INPA,,
