"","Data","Municipio","Campanha","Modulo","Transecto","Parcela","Ponto","Tipo_de_Parcela","Coordenadas_UTM_.X.","Coordenadas_UTM_.Y.","Ordem","Familia","Subfamilia","Especie","Tipo_Amostragem","Num._Ind._.Colonias.Encontros.","Num._ID_.campo.","Instituicao_para_Tombamento","Tombo","OBS"
"56","1/4/2011","""Ilha de Búfalos, Jaci Paraná, Porto Velho, RO""",3,"IB","T2","P4",2000,"Terrestre",8989521,336332,NA,"Rhinotermitidae","","Dolichorhinotermes sp. 1",NA,1,"4Ca","MZUSP","","#Em casca de palmeira na serapilheira"
"57","2/6/2012","""Ilha de Búfalos, Jaci Paraná, Porto Velho, RO""",8,"IB","T2","P5",3000,"Terrestre",8990336,336964,NA,"Rhinotermitidae","","Dolichorhinotermes sp. 1",NA,1,"3Da","MZUSP","","#Interior de bambu carcomido"
"58","8/6/2011","""Ilha de Búfalos, Jaci Paraná, Porto Velho, RO""",4,"IB","T2","P6",4000,"Terrestre",8991071,337699,NA,"Rhinotermitidae","","Dolichorhinotermes sp. 1",NA,1,"4Ca","MZUSP","","#Interior de galho."
"59","19/11/11","""Ilha de Búfalos, Jaci Paraná, Porto Velho, RO""",6,"IB","T2","P6",4000,"Terrestre",8991071,337699,NA,"Rhinotermitidae","","Dolichorhinotermes sp. 1",NA,1,"1Da","MZUSP","","#Interior de graveto"
"60","15/09/10","""Ilha das Pedras, Jaci Paraná, Porto Velho, RO""",1,"IP","T2","P2",550,"Terrestre",8985636,322669,NA,"Rhinotermitidae","","Dolichorhinotermes sp. 1",NA,1,"3Ca","MZUSP","","#Dentro de tronco podre e oco"
"61","21/11/11","""Ilha das Pedras, Jaci Paraná, Porto Velho, RO""",6,"IP","T2","P2",550,"Terrestre",8985636,322669,NA,"Rhinotermitidae","","Dolichorhinotermes sp. 1",NA,1,"3Aa","MZUSP","","#Interior de talo de palmeira com formigas atacando"
"62","1/6/2012","""Ilha das Pedras, Jaci Paraná, Porto Velho, RO""",8,"IP","T2","P3",990,"Terrestre",8985957,322373,NA,"Rhinotermitidae","","Dolichorhinotermes sp. 1",NA,1,"4Aa","MZUSP","","#Talo de palmeira e solo (Juntei com o 4C)"
"63","14/09/10","""Ilha das Pedras, Jaci Paraná, Porto Velho, RO""",1,"IP","T2","P4",1885,"Terrestre",8986754,321877,NA,"Rhinotermitidae","","Dolichorhinotermes sp. 1",NA,1,"2Ba","MZUSP","","#Forrageando no solo e dentro de graveto"
"64","14/09/10","""Ilha das Pedras, Jaci Paraná, Porto Velho, RO""",1,"IP","T2","P5",3000,"Terrestre",8987675,321325,NA,"Rhinotermitidae","","Dolichorhinotermes sp. 1",NA,1,"1Aa","MZUSP","","#Dentro de galho caído"
"65","9/6/2011","""Ilha das Pedras, Jaci Paraná, Porto Velho, RO""",4,"IP","T2","P5",3000,"Terrestre",8987675,321325,NA,"Rhinotermitidae","","Dolichorhinotermes sp. 1",NA,1,"4Ba","MZUSP","","#Interior de haste de folha de palmeira morta."
