,Data,Municipio ,Campanha,Modulo,Transecto,Parcela,Ponto,Tipo_de_Parcela,Coordenadas_UTM_(X),Coordenadas_UTM_(Y),Ordem,Familia,Subfamilia,Especie,Tipo_Amostragem,Num._Ind._(Colonias/Encontros),Num._ID_(campo),Instituicao_para_Tombamento,Tombo,OBS,,,,,
34,24/11/2011,"""Tr�s Praias, Jaci Paran�, Porto Velho, RO""",6,JP,T2,P3,1000,Terrestre,8954868,347940,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes latilabrum,,1,4Ab,MZUSP,,#Interior de tronco podre,,,,,
35,6/3/2012,"""Tr�s Praias, Jaci Paran�, Porto Velho, RO""",7,JP,T2,P4,2000,Terrestre,8954964,348933,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes latilabrum,,1,3Aa,MZUSP,,#Interior de tronco (Dolichorhino),,,,,
36,20/09/2010,"""Tr�s Praias, Jaci Paran�, Porto Velho, RO""",1,JP,T2,P5,3000,Terrestre,8955078,349875,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes latilabrum,,1,3Ab,MZUSP,,#Dentro de tronco ca�do,,,,,
37,7/1/2011,"""Morrinhos, Jaci Paran�, Porto Velho, Rond�nia""",2,MO,T1,P3,1000,Terrestre,9001745,362372,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes latilabrum,,1,1Ba,MZUSP,,#Em tronco ca�do e forrageando no solo proximo a ra�z de palmeira e tronco ca�do,,,,,
38,8/1/2011,"""Morrinhos, Jaci Paran�, Porto Velho, Rond�nia""",2,MO,T1,P5,3000,Terrestre,8999736,362810,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes latilabrum,,1,2Ab,MZUSP,,#Em galhinho ca�do no ch�o,,,,,
39,22/09/2010,"""Teot�nio, Porto Velho, RO""",1,TE,T2,P2,500,Terrestre,9022865,382824,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes latilabrum,,1,4Ab,MZUSP,,#Forrageando no solo,,,,,
40,6/4/2011,"""Teot�nio, Porto Velho, RO""",3,TE,T2,P2,500,Terrestre,9022865,382824,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes latilabrum,,1,1Ab,MZUSP,,#Em tronco,,,,,
41,1/6/2011,"""Teot�nio, Porto Velho, RO""",4,TE,T2,P2,500,Terrestre,9022865,382824,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes latilabrum,,1,3Cb,MZUSP,,#Em tronco morto e bem carcomido, parcialmente com terra dentro.,,,,
42,22/09/2010,"""Teot�nio, Porto Velho, RO""",1,TE,T2,P3,1000,Terrestre,9023187,382471,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes latilabrum,,1,3Aa,MZUSP,,#Dentro de gravetos,,,,,
43,5/4/2011,"""Teot�nio, Porto Velho, RO""",3,TE,T2,P4,2000,Terrestre,9023885,381719,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes latilabrum,,1,1Ca,MZUSP,,#Graveto,,,,,
44,27/11/2011,"""Teot�nio, Porto Velho, RO""",6,TE,T2,P4,2000,Terrestre,9023885,381719,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes latilabrum,,1,2Ba,MZUSP,,#Interior de graveto,,,,,
45,22/09/2010,"""Teot�nio, Porto Velho, RO""",1,TE,T2,P5,3000,Terrestre,9024570,380983,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes latilabrum,,1,2Be,MZUSP,,#Forrageando no solo,,,,,
46,19/01/2011,"""Teot�nio, Porto Velho, RO""",2,TE,T2,P5,3000,Terrestre,9024570,380983,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes latilabrum,,1,1Ca,MZUSP,,#Em graveto,,,,,
47,19/01/2011,"""Teot�nio, Porto Velho, RO""",2,TE,T2,P5,3000,Terrestre,9024570,380983,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes latilabrum,,1,3Da,MZUSP,,# Em ninho cartonado ca�do aparentemente abandonado,,,,,
48,5/4/2011,"""Teot�nio, Porto Velho, RO""",3,TE,T2,P5,3000,Terrestre,9024570,380983,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes latilabrum,,1,2Ca,MZUSP,,#No solo (Apico) e em graveto,,,,,
49,5/4/2011,"""Teot�nio, Porto Velho, RO""",3,TE,T2,P5,3000,Terrestre,9024570,380983,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes latilabrum,,1,3Ba,MZUSP,,#Em graveto,,,,,
50,1/6/2011,"""Teot�nio, Porto Velho, RO""",4,TE,T2,P5,3000,Terrestre,9024570,380983,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes latilabrum,,1,4Ba,MZUSP,,#No solo.,,,,,
51,10/3/2012,"""Teot�nio, Porto Velho, RO""",7,TE,T2,P5,3000,Terrestre,9024570,380983,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes latilabrum,,1,3Bc,MZUSP,,#Interior de tronco,,,,,
52,10/6/2012,"""Teot�nio, Porto Velho, RO""",8,TE,T2,P5,3000,Terrestre,9024570,380983,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes latilabrum,,1,1Aa,MZUSP,,#Interior de tronco podre ca�do no ch�o,,,,,
53,10/6/2012,"""Teot�nio, Porto Velho, RO""",8,TE,T2,P5,3000,Terrestre,9024570,380983,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes latilabrum,,1,4Ba,MZUSP,,#Interior de tronco ca�do no ch�o,,,,,
54,19/01/2011,"""Teot�nio, Porto Velho, RO""",2,TE,T2,P6,4000,Terrestre,9025236,380252,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes latilabrum,,1,3Ca,MZUSP,,#Em tronco ca�do bem podre,,,,,
55,2/4/2011,"""Ilha de B�falos, Jaci Paran�, Porto Velho, RO""",3,IB,T2,P1,0,Terrestre,8988015,334967,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes sp. 1,,1,3Cb,MZUSP,,#Em folha de palmeira,,,,,
56,1/4/2011,"""Ilha de B�falos, Jaci Paran�, Porto Velho, RO""",3,IB,T2,P4,2000,Terrestre,8989521,336332,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes sp. 1,,1,4Ca,MZUSP,,#Em casca de palmeira na serapilheira,,,,,
57,2/6/2012,"""Ilha de B�falos, Jaci Paran�, Porto Velho, RO""",8,IB,T2,P5,3000,Terrestre,8990336,336964,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes sp. 1,,1,3Da,MZUSP,,#Interior de bambu carcomido,,,,,
58,8/6/2011,"""Ilha de B�falos, Jaci Paran�, Porto Velho, RO""",4,IB,T2,P6,4000,Terrestre,8991071,337699,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes sp. 1,,1,4Ca,MZUSP,,#Interior de galho.,,,,,
59,19/11/2011,"""Ilha de B�falos, Jaci Paran�, Porto Velho, RO""",6,IB,T2,P6,4000,Terrestre,8991071,337699,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes sp. 1,,1,1Da,MZUSP,,#Interior de graveto,,,,,
60,15/09/2010,"""Ilha das Pedras, Jaci Paran�, Porto Velho, RO""",1,IP,T2,P2,500,Terrestre,8985636,322669,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes sp. 1,,1,3Ca,MZUSP,,#Dentro de tronco podre e oco,,,,,
61,21/11/2011,"""Ilha das Pedras, Jaci Paran�, Porto Velho, RO""",6,IP,T2,P2,500,Terrestre,8985636,322669,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes sp. 1,,1,3Aa,MZUSP,,#Interior de talo de palmeira com formigas atacando,,,,,
62,1/6/2012,"""Ilha das Pedras, Jaci Paran�, Porto Velho, RO""",8,IP,T2,P3,1000,Terrestre,8985957,322373,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes sp. 1,,1,4Aa,MZUSP,,#Talo de palmeira e solo (Juntei com o 4C),,,,,
63,14/09/2010,"""Ilha das Pedras, Jaci Paran�, Porto Velho, RO""",1,IP,T2,P4,2000,Terrestre,8986754,321877,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes sp. 1,,1,2Ba,MZUSP,,#Forrageando no solo e dentro de graveto,,,,,
64,14/09/2010,"""Ilha das Pedras, Jaci Paran�, Porto Velho, RO""",1,IP,T2,P5,3000,Terrestre,8987675,321325,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes sp. 1,,1,1Aa,MZUSP,,#Dentro de galho ca�do,,,,,
65,9/6/2011,"""Ilha das Pedras, Jaci Paran�, Porto Velho, RO""",4,IP,T2,P5,3000,Terrestre,8987675,321325,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes sp. 1,,1,4Ba,MZUSP,,#Interior de haste de folha de palmeira morta.,,,,,
66,2/3/2012,"""Ilha das Pedras, Jaci Paran�, Porto Velho, RO""",7,IP,T2,P5,3000,Terrestre,8987675,321325,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes sp. 1,,1,4Ba,MZUSP,,#Col�nia de Dolichorhino dentro de talo de palmeira morta,,,,,
67,16/01/2011,"""Ilha das Pedras, Jaci Paran�, Porto Velho, RO""",2,IP,T2,P6,4000,Terrestre,8988536,320818,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes sp. 1,,1,1Aa,MZUSP,,#Na serapilheira e no solo envolta de ra�z de palmeira,,,,,
68,9/6/2011,"""Ilha das Pedras, Jaci Paran�, Porto Velho, RO""",4,IP,T2,P6,4000,Terrestre,8988536,320818,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes sp. 1,,1,1Ab,MZUSP,,#Interior de galho carcomido.,,,,,
69,1/6/2012,"""Ilha das Pedras, Jaci Paran�, Porto Velho, RO""",8,IP,T2,P6,4000,Terrestre,8988536,320818,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes sp. 1,,1,3Aa,MZUSP,,#Interior de graveto,,,,,
70,11/4/2011,"""Jirau, Nova Mutum Paran�, Porto Velho, RO""",3,JI,T2,P3,1000,Terrestre,8970820,310485,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes sp. 1,,1,1Aa,MZUSP,,#Graveto,,,,,
71,3/6/2011,"""Jirau, Nova Mutum Paran�, Porto Velho, RO""",4,JI,T2,P4,2000,Terrestre,8971554,309787,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes sp. 1,,1,4Aa,MZUSP,,#Serrapilheira.,,,,,
72,9/1/2011,"""Jirau, Nova Mutum Paran�, Porto Velho, RO""",2,JI,T2,P6,4000,Terrestre,8972955,308380,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes sp. 1,,1,4Aa,MZUSP,,#Em tronco ca�do,,,,,
73,5/4/2011,"""Teot�nio, Porto Velho, RO""",3,TE,T2,P3,1000,Terrestre,9023187,382471,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes sp. 1,,1,3Aa,MZUSP,,#Graveto,,,,,
74,1/6/2011,"""Teot�nio, Porto Velho, RO""",4,TE,T2,P5,3000,Terrestre,9024570,380983,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes sp. 1,,1,4Bb,MZUSP,,#No solo.,,,,,
75,22/09/2010,"""Teot�nio, Porto Velho, RO""",1,TE,T2,P7,5000,Terrestre,9025906,379516,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes sp. 1,,1,4Aa,MZUSP,,#Dentro de graveto,,,,,
76,2/4/2011,"""Ilha de B�falos, Jaci Paran�, Porto Velho, RO""",3,IB,T2,P1,0,Terrestre,8988015,334967,,Rhinotermitidae,Heterotermitinae,Heterotermes tenuis,,1,3Ab,MZUSP,,#Em tronco ca�do,,,,,
77,6/9/2011,"""Ilha de B�falos, Jaci Paran�, Porto Velho, RO""",5,IB,T2,P1,0,Terrestre,8988015,334967,,Rhinotermitidae,Heterotermitinae,Heterotermes tenuis,,1,1Aa,MZUSP,,#Interior de talo de palmeira,,,,,
78,3/3/2012,"""Ilha de B�falos, Jaci Paran�, Porto Velho, RO""",7,IB,T2,P1,0,Terrestre,8988015,334967,,Rhinotermitidae,Heterotermitinae,Heterotermes tenuis,,1,1Aa,MZUSP,,#Interior de tronquinho e graveto podres,,,,,
