,Data,Municipio,Campanha,Modulo,Transecto,Parcela,Ponto,Tipo_de_Parcela,Coordenadas_UTM_.X.,Coordenadas_UTM_.Y.,Ordem,Familia,Subfamilia,Especie,Tipo_Amostragem,Num._Ind._.Colonias.Encontros.,Num._ID_.campo.,Instituicao_para_Tombamento,Tombo,OBS,X.1,X.2,X.3,X.4,X.5,Especie_orig
43,5/4/2011,"""Teot�nio, Porto Velho, RO""",3,TE,T2,P4,2000,Terrestre,9023885,381719,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes_latilabrum,NA,1,1Ca,MZUSP,,#Graveto,,,,,,Dolichorhinotermes latilabrum
44,27/11/2011,"""Teot�nio, Porto Velho, RO""",6,TE,T2,P4,2000,Terrestre,9023885,381719,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes_latilabrum,NA,1,2Ba,MZUSP,,#Interior de graveto,,,,,,Dolichorhinotermes latilabrum
45,22/09/2010,"""Teot�nio, Porto Velho, RO""",1,TE,T2,P5,3000,Terrestre,9024570,380983,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes_latilabrum,NA,1,2Be,MZUSP,,#Forrageando no solo,,,,,,Dolichorhinotermes latilabrum
46,19/01/2011,"""Teot�nio, Porto Velho, RO""",2,TE,T2,P5,3000,Terrestre,9024570,380983,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes_latilabrum,NA,1,1Ca,MZUSP,,#Em graveto,,,,,,Dolichorhinotermes latilabrum
47,19/01/2011,"""Teot�nio, Porto Velho, RO""",2,TE,T2,P5,3000,Terrestre,9024570,380983,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes_latilabrum,NA,1,3Da,MZUSP,,# Em ninho cartonado ca�do aparentemente abandonado,,,,,,Dolichorhinotermes latilabrum
48,5/4/2011,"""Teot�nio, Porto Velho, RO""",3,TE,T2,P5,3000,Terrestre,9024570,380983,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes_latilabrum,NA,1,2Ca,MZUSP,,#No solo (Apico) e em graveto,,,,,,Dolichorhinotermes latilabrum
49,5/4/2011,"""Teot�nio, Porto Velho, RO""",3,TE,T2,P5,3000,Terrestre,9024570,380983,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes_latilabrum,NA,1,3Ba,MZUSP,,#Em graveto,,,,,,Dolichorhinotermes latilabrum
50,1/6/2011,"""Teot�nio, Porto Velho, RO""",4,TE,T2,P5,3000,Terrestre,9024570,380983,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes_latilabrum,NA,1,4Ba,MZUSP,,#No solo.,,,,,,Dolichorhinotermes latilabrum
51,10/3/2012,"""Teot�nio, Porto Velho, RO""",7,TE,T2,P5,3000,Terrestre,9024570,380983,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes_latilabrum,NA,1,3Bc,MZUSP,,#Interior de tronco,,,,,,Dolichorhinotermes latilabrum
52,10/6/2012,"""Teot�nio, Porto Velho, RO""",8,TE,T2,P5,3000,Terrestre,9024570,380983,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes_latilabrum,NA,1,1Aa,MZUSP,,#Interior de tronco podre ca�do no ch�o,,,,,,Dolichorhinotermes latilabrum
53,10/6/2012,"""Teot�nio, Porto Velho, RO""",8,TE,T2,P5,3000,Terrestre,9024570,380983,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes_latilabrum,NA,1,4Ba,MZUSP,,#Interior de tronco ca�do no ch�o,,,,,,Dolichorhinotermes latilabrum
54,19/01/2011,"""Teot�nio, Porto Velho, RO""",2,TE,T2,P6,4000,Terrestre,9025236,380252,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes_latilabrum,NA,1,3Ca,MZUSP,,#Em tronco ca�do bem podre,,,,,,Dolichorhinotermes latilabrum
55,2/4/2011,"""Ilha de B�falos, Jaci Paran�, Porto Velho, RO""",3,IB,T2,P1,0,Terrestre,8988015,334967,,Rhinotermitidae,Rhinotermitinae,Rhinotermes_sp._1,NA,1,3Cb,MZUSP,,#Em folha de palmeira,,,,,,Dolichorhinotermes sp. 1
56,1/4/2011,"""Ilha de B�falos, Jaci Paran�, Porto Velho, RO""",3,IB,T2,P4,2000,Terrestre,8989521,336332,,Rhinotermitidae,Rhinotermitinae,Rhinotermes_sp._1,NA,1,4Ca,MZUSP,,#Em casca de palmeira na serapilheira,,,,,,Dolichorhinotermes sp. 1
57,2/6/2012,"""Ilha de B�falos, Jaci Paran�, Porto Velho, RO""",8,IB,T2,P5,3000,Terrestre,8990336,336964,,Rhinotermitidae,Rhinotermitinae,Rhinotermes_sp._1,NA,1,3Da,MZUSP,,#Interior de bambu carcomido,,,,,,Dolichorhinotermes sp. 1
58,8/6/2011,"""Ilha de B�falos, Jaci Paran�, Porto Velho, RO""",4,IB,T2,P6,4000,Terrestre,8991071,337699,,Rhinotermitidae,Rhinotermitinae,Rhinotermes_sp._1,NA,1,4Ca,MZUSP,,#Interior de galho.,,,,,,Dolichorhinotermes sp. 1
